material,d_mag,l_mag,circuit,t_steel,r_clear,gap,n_gon,r_face,wire_d,n_layers,v_cap,c_cap,pulse_mode,f_pulse,duty,n_pulses,fidelity,n_faces,a_face,bounding_cube,m_module,free_volume,coil_mass,turns_per_layer,n_turns,winding_build,J_attract,J_repel,margin_attract,margin_repel,F_attract,F_repel,asymmetry,margin,n_eff,R_coil,L_coil,i_peak,h_peak,h_need,switch_margin,switched,saturated,b_steel_peak,mmf,mmf_need,v_need,e_switch,e_drawn,pulse_program,pulse_saving,hold_ratio,pivot_ratio,E_barrier,W_drive,drv_mass,drv_price,drv_cap,drv_mosfet,drv_topology,feasible,scalar,violations
Cunife,0.001,0.006987138083761978,none,0.0003,0.0,0.00011537778777383299,20,0.01664017928154351,0.00043734469771738863,8,64.39540951627956,0.00020967190155674758,train,20213.72864059371,0.5082425997909483,7,screen,54,0.005271090964814425,0.03328035856308702,0.11851214900766126,8.821860113076187e-09,0.002120015619712874,14,112,0.003476365533215979,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.17960409368662114,4.387739934896045e-06,182.9969604104078,2421283.999020096,132000.0,18.34306059863709,True,False,0.0,20495.659565965674,1117.352224605774,3.5106142276531656,0.06977023973529776,0.42939774475507936,"7 pulses at 20 kHz, 51 % duty",0.0,0.0,0.0,nan,0.0,0.025593333333333333,135.70000000000002,elec 220u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
FerriteY35,0.001,0.0018992704987849385,none,0.0003,0.0,0.0002379402278501274,16,0.012421008225522445,0.00032551944308569555,16,287.1623743226599,0.00017619637758385306,train,81247.34080972298,0.7760184732546772,12,screen,42,0.004941384302761749,0.02484201645104489,0.04891460270598536,2.1181214124144529e-07,0.0011572495641319295,5,80,0.0051749778983991536,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.3194419317213965,2.8551168457032927e-06,595.9557684073628,19953745.392282512,750000.0,26.604993856376684,True,False,0.0,47676.46147258903,1792.0117452371421,10.793551611884054,0.4310672365267343,6.835797510125847,"12 pulses at 81 kHz, 78 % duty",0.0,0.0,0.0,nan,0.0,0.025433333333333332,203.7,elec 220u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
LNGT72,0.001,0.001676734188311587,potcore,0.0003,0.0001149286709579916,0.00014251890519631393,20,0.00988968363441374,0.00024416399432393275,11,227.46444690668451,0.00014478977409280468,single,73567.95469566897,0.12723646582222037,2,screen,54,0.0031327440148466923,0.01977936726882748,0.027507160417647374,0.0,0.00031912222711596923,6,66,0.0026686147923628556,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.2782935898165771,3.6465844100136312e-06,608.4881211625375,17031962.755302522,342000.0,49.80106068801907,True,True,5.1945839276413395,40160.21599672747,806.4128643426474,4.567461892662197,0.08155517424067868,3.745229478278972,single shot,0.0,0.0,0.0,nan,0.0,0.028593333333333335,136.0,elec 100u/63V,IRLML6344 SOT-23,multiplexed,False,0.0,EPM wider than the face [prescreen]
LNG13,0.001,0.0014540269482100944,none,0.0003,0.0,0.000195127556399437,16,0.010501546398457382,0.00033162001814368987,15,108.66436380872372,9.321172562479303e-06,train,99494.35491899749,0.14947754829885823,11,screen,42,0.004177774910528958,0.021003092796914764,0.036758098426360034,0.0,0.0008668562919842606,4,60,0.004942464750413554,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.22215535374487833,5.540523423824626e-07,192.5369454098309,450353.85607631697,153000.0,2.9434892554007646,True,False,0.0,11552.216724589854,3924.667536459883,36.91685424342708,0.26677136844544314,0.05405906301832553,"11 pulses at 99 kHz, 15 % duty",0.0,0.0,0.0,nan,0.0,0.022433333333333333,185.9,elec 100u/63V,BSC160N10 PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
LNGT36J,0.001,0.004021374012570737,none,0.0003,0.0,0.00035605442050486565,16,0.020053846690053737,0.00030937650865702,11,279.50545666040415,0.0001386840672078955,train,15771.763100158261,0.19053932803713788,1,screen,42,0.007977916240374616,0.04010769338010747,0.058069895849539525,1.2646555701951554e-05,0.001223785912973393,12,132,0.0033813614890177658,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.4140270786385515,6.878622015117045e-06,327.1730094635078,8637245.062344015,444000.0,19.453254644918953,True,False,0.0,43186.83724918303,2220.031456816565,14.368056233377326,0.6012317441653932,0.6162544370928176,"1 pulses at 16 kHz, 19 % duty",0.0,0.0,0.0,nan,0.0,0.022433333333333333,203.5,elec 100u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
Sm2Co17-30,0.001,0.002629738399879988,none,0.0003,0.0,0.000370357894015358,20,0.018108035075244135,0.0004351533233692385,9,65.84766324688701,9.843261649638161e-06,single,9736.451985373551,0.8715690721282859,9,screen,54,0.005736062001539229,0.03621607015048827,0.0522744020081456,8.710470078238308e-06,0.0009214473514973011,5,45,0.0038913150788970783,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.07964782858726883,6.723338361754381e-07,179.6900750019521,2615552.6089246664,5970000.0,0.438116014895254,False,False,0.0,8086.053375087844,18456.420446125623,150.29732081953236,6.003510459590702,0.021061666293576184,single shot,0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,EPM wider than the face; coil reaches only 2616 kA/m of the 5970 kA/m needed to switch; no driver for 150 V [prescreen]
LNGT72,0.001,0.0021252976655556977,potcore,0.0003,4.993077483894568e-05,0.00024261138809525957,20,0.01359014974195353,0.000378704440045455,13,138.84980369698172,0.00012864932102100792,train,116066.16265576491,0.4664636483888954,6,screen,54,0.004304936521611902,0.02718029948390706,0.08894972066916444,0.0,0.0012142240130419318,5,65,0.004891649511179134,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.18296577624416382,2.843355164374213e-06,292.35941875885084,6478957.081054831,342000.0,18.944318950452722,True,False,1.21338649228626,19003.362219325303,1003.1166741347104,7.329363703183616,0.1865966355297964,0.5828539568940082,"6 pulses at 116 kHz, 47 % duty",0.0,0.0,0.0,nan,0.0,0.024833333333333332,258.7,elec 100u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,EPM wider than the face [prescreen]
NdFeB-bond,0.001,0.006542958216044352,potcore,0.0003,6.25027509898017e-05,0.0003814521590574916,16,0.014169396115680922,0.00042442537700597443,4,38.28363894555546,1.59335482705697e-05,single,26945.016844183625,0.21025822067890643,8,screen,42,0.005636936251420446,0.028338792231361844,0.04136536909050545,2.3026170992460504e-06,0.0005992108531143415,14,56,0.001686836218372545,nan,nan,nan,nan,0.0,0.0,inf,nan,nan,0.05723305538947702,5.205882176995013e-07,143.3305373619164,1173944.1905370487,2280000.0,0.5148878028671267,False,False,0.2946132709592452,8026.510092267319,15588.852654058037,74.35336151366367,1.8498350780008024,0.011581393984109161,single shot,0.0,0.0,0.0,nan,0.0,,,,,,False,0.0,coil reaches only 1174 kA/m of the 2280 kA/m needed to switch; no driver for 74 V [prescreen]
FerriteY30,0.001,0.006603026277963335,potcore,0.0003,3.197998031122887e-05,7.797987696284161e-05,8,0.013853496466888274,0.00023589256565143972,14,245.52561293663905,6.222634814312145e-05,single,35414.18467519704,0.7595857151615496,7,screen,18,0.011476612245745756,0.02770699293377655,0.06322559435530524,2.7111967718202237e-06,0.0018434274816787404,25,350,0.003281359945237787,0.3799822336315933,0.3799919425447674,0.0181527410150417,0.09720570461064958,0.034746501747202584,0.032627476109419865,1.0649460482532063,0.09720570461064958,0.012877041070564902,1.845192474612049,1.9881847882209408e-05,110.72705558764959,5793620.220549585,585000.0,9.90362430863177,True,False,0.8419378003957605,38754.469455677354,3913.160298487883,24.79149100220256,0.3442089174111134,1.8593491545431955,single shot,0.0,0.05602078093665969,0.034127694668477,0.0007079578916040314,2.4160970762801124e-05,0.017633333333333334,85.1,elec 100u/63V,BSC160N10 PG-TDSON,multiplexed,False,0.0,hold 0.1 < 3.0; pivot 0.03 < 1.5; electronics do not fit
LNGT60,0.001,0.004609948033901249,potcore,0.0003,0.0001530614001946365,0.0001352224492098289,20,0.02090158295530171,0.00034700287766432095,6,154.12938431149243,0.00012120766877639614,single,27153.43181820339,0.7228642945023297,7,screen,54,0.006620971036544657,0.04180316591060342,0.08761396793276655,1.4315300885758064e-05,0.0005881657949909247,12,72,0.002068692355483616,0.8999478231998346,0.8416988765947518,0.11465182785173779,0.3791161016867864,0.1535024200514169,0.06824569488793217,2.2492615879065596,0.3791161016867864,0.0358609288682766,0.1257303405165855,2.140121287276165e-06,654.7366606628718,9859225.693385663,336000.0,29.342933611266854,True,True,3.5952097154547267,47141.03956772677,1606.5550974639414,5.252691716288078,0.09029374948073082,1.439695600209466,single shot,0.0,0.17859646967621154,0.28971023748050434,0.00022393305261402688,6.4875697852544e-05,0.03283333333333333,259.29999999999995,elec 470u/63V,BSC0902NS PG-TDSON,multiplexed,False,0.0,hold 0.2 < 3.0; pivot 0.29 < 1.5; electronics do not fit
